student_id,week_number,video_watch_time_minutes,quiz_attempts,quiz_score,assignment_submission_count,assignment_late_count,coding_assignment_submissions,coding_success_rate,discussion_forum_posts,total_time_spent_minutes,engagement_category
1,1,58.5,2,59.9,2,0,2,0.57,0,145.5,moderate_engagement
1,2,54.0,2,81.6,2,0,1,0.48,4,151.7,moderate_engagement
1,3,61.7,3,75.3,2,1,1,0.51,0,166.5,moderate_engagement
1,4,51.6,2,83.6,1,1,1,0.56,3,207.8,moderate_engagement
1,5,35.8,1,66.4,2,2,1,0.58,0,189.0,moderate_engagement
1,6,96.0,3,54.6,2,1,2,0.68,2,235.1,moderate_engagement
1,7,81.3,1,63.0,1,0,2,0.82,4,203.7,moderate_engagement
1,8,84.7,1,53.5,2,0,2,0.76,2,143.3,moderate_engagement
1,9,86.4,3,87.8,3,1,2,0.71,2,168.0,moderate_engagement
1,10,31.3,1,54.8,3,0,1,0.6,3,101.5,moderate_engagement
1,11,70.8,1,63.4,2,2,1,0.64,4,205.3,moderate_engagement
1,12,67.5,1,73.9,3,2,1,0.57,0,156.2,moderate_engagement
2,1,106.1,3,80.9,4,1,3,0.9,9,256.8,high_engagement
2,2,120.9,4,75.9,4,0,2,0.88,9,270.9,high_engagement
2,3,133.6,5,80.2,4,0,2,0.76,8,319.8,high_engagement
2,4,123.5,5,86.4,5,0,3,1.0,5,273.0,high_engagement
2,5,154.7,3,70.1,4,0,3,0.88,7,224.8,high_engagement
2,6,143.4,6,86.0,3,0,3,0.85,9,273.9,high_engagement
2,7,108.5,6,88.4,3,1,3,0.93,9,274.9,high_engagement
2,8,143.9,4,81.5,3,0,3,0.89,7,334.6,high_engagement
2,9,96.8,4,82.3,3,0,2,0.87,9,389.8,high_engagement
2,10,144.8,5,81.3,4,0,2,0.82,6,267.4,high_engagement
2,11,126.7,6,91.2,4,0,2,0.75,8,295.8,high_engagement
2,12,113.7,4,86.1,3,0,4,1.0,7,303.4,high_engagement
3,1,117.0,6,85.5,5,0,3,0.77,7,308.2,high_engagement
3,2,130.3,5,85.6,3,1,3,0.8,6,265.3,high_engagement
3,3,124.2,3,80.0,4,0,3,0.76,5,351.3,high_engagement
3,4,110.7,3,82.2,4,0,2,0.84,7,279.8,high_engagement
3,5,107.6,3,80.5,5,1,3,0.89,9,238.9,high_engagement
3,6,143.3,3,81.5,5,0,2,0.82,3,430.2,high_engagement
3,7,130.2,3,82.5,3,1,2,0.88,6,294.8,high_engagement
3,8,148.7,3,93.5,3,0,2,0.73,7,310.8,high_engagement
3,9,129.4,3,90.0,3,0,4,0.88,5,367.0,high_engagement
3,10,129.2,3,95.9,4,0,2,0.81,5,245.7,high_engagement
3,11,112.9,3,86.9,4,1,2,0.94,9,280.9,high_engagement
3,12,122.8,6,91.6,4,0,4,0.87,5,359.0,high_engagement
4,1,15.5,1,22.4,0,1,1,0.25,1,58.8,low_engagement
4,2,32.8,0,48.0,0,2,1,0.33,0,70.0,low_engagement
4,3,25.7,0,27.3,1,3,0,0.36,0,84.6,low_engagement
4,4,23.0,0,44.3,1,0,0,0.57,0,84.0,low_engagement
4,5,42.2,0,29.5,1,3,1,0.33,1,84.4,low_engagement
4,6,13.2,1,32.6,1,1,1,0.24,0,63.8,low_engagement
4,7,21.1,0,15.1,0,1,0,0.44,0,84.3,low_engagement
4,8,23.5,0,49.7,0,3,1,0.53,1,48.3,low_engagement
4,9,17.6,0,61.5,0,2,0,0.0,0,37.5,low_engagement
4,10,29.1,0,68.7,1,3,0,0.28,1,75.6,low_engagement
4,11,17.1,0,28.3,0,1,0,0.51,1,98.5,low_engagement
4,12,0.0,0,36.0,0,1,0,0.66,1,103.9,low_engagement
5,1,78.3,3,81.1,3,0,1,0.78,2,223.9,moderate_engagement
5,2,74.7,2,74.6,2,1,2,0.46,1,78.0,moderate_engagement
5,3,74.0,3,38.9,2,1,1,0.72,1,212.3,moderate_engagement
5,4,69.7,1,74.6,2,1,2,0.73,2,107.9,moderate_engagement
5,5,77.3,1,53.7,3,2,1,0.48,1,205.2,moderate_engagement
5,6,82.3,2,58.7,2,0,1,0.8,3,299.1,moderate_engagement
5,7,58.9,2,50.6,2,1,1,0.6,2,135.0,moderate_engagement
5,8,87.0,1,57.6,3,0,1,0.7,1,183.5,moderate_engagement
5,9,73.8,2,84.2,1,0,1,0.7,2,130.6,moderate_engagement
5,10,50.6,2,66.0,2,1,1,0.64,3,155.6,moderate_engagement
5,11,57.1,1,52.0,1,0,1,0.73,4,212.7,moderate_engagement
5,12,121.5,2,57.5,2,1,2,0.48,0,170.5,moderate_engagement
6,1,84.2,2,61.5,3,0,1,0.66,4,170.3,moderate_engagement
6,2,57.0,3,59.2,2,0,1,0.62,2,225.4,moderate_engagement
6,3,74.7,1,68.3,2,0,1,0.67,2,221.6,moderate_engagement
6,4,36.6,1,71.5,2,2,2,0.63,0,43.0,moderate_engagement
6,5,106.9,2,68.2,2,1,1,0.58,2,203.8,moderate_engagement
6,6,67.0,2,60.1,1,0,2,0.68,3,129.4,moderate_engagement
6,7,86.7,1,51.4,1,1,2,0.75,0,203.2,moderate_engagement
6,8,79.0,2,72.7,2,2,1,0.61,3,172.2,moderate_engagement
6,9,67.6,1,66.4,1,0,2,0.55,2,202.9,moderate_engagement
6,10,75.8,1,89.9,1,1,2,0.57,2,245.1,moderate_engagement
6,11,84.2,3,91.5,3,1,1,0.57,4,221.2,moderate_engagement
6,12,74.7,3,74.3,2,2,1,0.71,3,234.5,moderate_engagement
7,1,80.2,2,80.0,3,1,1,0.54,4,137.5,moderate_engagement
7,2,60.1,2,69.7,2,1,1,0.55,4,193.0,moderate_engagement
7,3,64.6,1,53.3,1,0,2,0.72,2,228.7,moderate_engagement
7,4,78.3,3,87.5,3,0,1,0.59,1,196.3,moderate_engagement
7,5,73.6,1,96.7,1,0,2,0.49,3,190.2,moderate_engagement
7,6,94.1,3,73.1,2,0,1,0.62,2,185.0,moderate_engagement
7,7,50.2,1,63.5,2,1,2,0.54,2,227.6,moderate_engagement
7,8,36.2,1,83.4,1,0,2,0.66,2,245.9,moderate_engagement
7,9,87.0,3,37.2,2,0,2,0.7,2,178.1,moderate_engagement
7,10,79.4,2,46.6,1,2,1,0.51,1,225.3,moderate_engagement
7,11,64.6,3,51.7,1,0,1,0.52,2,187.5,moderate_engagement
7,12,74.0,2,63.3,1,1,1,0.91,1,124.6,moderate_engagement
8,1,105.6,2,91.8,4,1,4,0.63,3,203.5,dropoff_behavior
8,2,81.6,3,65.1,2,1,3,0.3,2,181.3,dropoff_behavior
8,3,108.6,2,60.6,0,3,3,0.54,5,187.6,dropoff_behavior
8,4,55.9,1,39.0,1,2,2,0.48,5,178.7,dropoff_behavior
8,5,53.4,2,47.6,0,1,2,0.27,4,114.2,dropoff_behavior
8,6,34.7,1,32.8,1,2,1,0.12,5,102.6,dropoff_behavior
8,7,18.1,2,28.7,0,2,2,0.35,1,114.4,dropoff_behavior
8,8,19.9,2,13.5,0,2,0,0.18,0,30.6,dropoff_behavior
8,9,23.7,0,14.6,0,2,1,0.1,3,10.1,dropoff_behavior
8,10,0.0,0,5.2,0,1,0,0.18,0,25.5,dropoff_behavior
8,11,13.1,0,8.9,0,1,0,0.02,0,16.9,dropoff_behavior
8,12,8.5,0,0.0,2,2,0,0.0,1,60.5,dropoff_behavior
9,1,78.0,3,64.4,2,3,2,0.86,5,263.6,dropoff_behavior
9,2,92.1,4,60.4,2,3,3,0.68,4,188.5,dropoff_behavior
9,3,71.6,2,33.0,1,0,1,0.56,3,146.1,dropoff_behavior
9,4,69.9,3,44.3,1,2,3,0.58,4,89.6,dropoff_behavior
9,5,65.3,1,12.2,2,1,2,0.39,6,139.6,dropoff_behavior
9,6,42.2,3,40.1,1,1,1,0.28,3,94.8,dropoff_behavior
9,7,29.6,0,6.4,1,2,0,0.13,4,80.1,dropoff_behavior
9,8,19.9,0,22.9,0,3,0,0.22,0,23.5,dropoff_behavior
9,9,0.3,1,10.2,0,3,1,0.09,0,5.2,dropoff_behavior
9,10,0.0,0,2.5,0,1,0,0.18,0,0.0,dropoff_behavior
9,11,14.5,2,4.8,0,2,2,0.0,0,0.0,dropoff_behavior
9,12,2.3,0,3.1,0,3,0,0.15,0,15.6,dropoff_behavior
10,1,128.3,6,85.3,3,0,2,0.85,8,347.5,high_engagement
10,2,138.1,6,87.7,4,0,2,0.9,5,285.6,high_engagement
10,3,114.3,5,89.4,5,0,2,0.89,4,334.3,high_engagement
10,4,124.8,6,80.0,5,0,2,0.84,5,305.9,high_engagement
10,5,123.4,4,83.8,4,0,2,0.79,7,275.4,high_engagement
10,6,122.9,3,85.4,5,0,2,0.83,8,308.8,high_engagement
10,7,119.3,4,82.4,5,0,4,0.86,4,316.3,high_engagement
10,8,131.3,4,92.8,3,0,4,0.8,5,376.4,high_engagement
10,9,125.5,5,80.8,3,0,3,0.94,5,281.7,high_engagement
10,10,111.7,4,100.0,4,1,2,0.95,5,304.3,high_engagement
10,11,136.8,5,95.5,5,1,2,0.84,5,325.3,high_engagement
10,12,92.3,4,80.5,4,0,2,0.88,6,288.5,high_engagement
11,1,46.7,3,95.8,2,0,1,0.68,1,216.1,moderate_engagement
11,2,82.9,1,80.9,2,1,2,0.8,3,255.1,moderate_engagement
11,3,42.8,1,61.2,3,1,1,0.7,2,147.4,moderate_engagement
11,4,109.3,2,60.4,2,2,2,0.72,0,125.3,moderate_engagement
11,5,88.8,1,75.2,1,0,2,0.6,3,122.1,moderate_engagement
11,6,80.5,2,86.4,1,1,1,0.54,1,233.8,moderate_engagement
11,7,88.4,2,71.6,3,1,2,0.77,0,226.2,moderate_engagement
11,8,106.2,2,69.3,2,1,1,0.61,1,227.5,moderate_engagement
11,9,68.0,3,83.0,1,0,2,0.52,4,155.8,moderate_engagement
11,10,38.8,2,77.7,1,0,1,0.53,3,175.9,moderate_engagement
11,11,104.6,2,70.2,1,2,1,0.5,2,179.3,moderate_engagement
11,12,60.0,3,67.5,3,0,2,0.74,4,166.3,moderate_engagement
12,1,71.6,2,69.7,3,1,2,0.84,1,207.8,dropoff_behavior
12,2,92.0,3,65.3,1,2,1,0.61,4,207.8,dropoff_behavior
12,3,61.7,2,52.2,3,1,1,0.62,0,182.1,dropoff_behavior
12,4,42.7,2,48.7,1,1,0,0.56,2,160.4,dropoff_behavior
12,5,49.3,2,38.3,0,1,1,0.5,3,83.2,dropoff_behavior
12,6,27.4,2,38.5,2,2,1,0.33,4,107.2,dropoff_behavior
12,7,26.1,1,21.8,0,2,0,0.09,1,88.5,dropoff_behavior
12,8,11.2,0,16.4,1,3,1,0.0,5,45.8,dropoff_behavior
12,9,26.6,0,13.6,0,3,0,0.0,2,20.1,dropoff_behavior
12,10,13.2,0,3.4,2,3,0,0.16,2,48.1,dropoff_behavior
12,11,14.6,0,20.1,0,1,1,0.0,0,55.6,dropoff_behavior
12,12,13.5,0,0.0,0,3,0,0.12,0,53.8,dropoff_behavior
13,1,23.2,1,41.9,0,0,0,0.55,0,99.7,low_engagement
13,2,14.4,0,63.3,0,1,0,0.3,0,59.1,low_engagement
13,3,44.7,1,55.1,1,1,0,0.44,1,61.5,low_engagement
13,4,19.5,1,39.7,0,1,1,0.11,1,64.3,low_engagement
13,5,41.6,1,48.5,1,2,0,0.55,0,62.2,low_engagement
13,6,22.0,0,45.9,0,0,0,0.14,1,57.6,low_engagement
13,7,4.7,1,38.5,1,1,0,0.72,1,84.5,low_engagement
13,8,43.2,0,51.6,0,1,0,0.19,1,61.6,low_engagement
13,9,26.3,0,20.0,0,0,1,0.23,1,56.2,low_engagement
13,10,18.1,1,41.0,0,3,0,0.39,1,116.3,low_engagement
13,11,16.6,1,30.1,1,1,0,0.38,0,66.6,low_engagement
13,12,34.0,1,29.5,1,3,1,0.5,0,74.2,low_engagement
14,1,53.3,2,90.7,1,0,1,0.59,4,234.7,moderate_engagement
14,2,94.5,3,84.5,2,0,1,0.59,1,309.0,moderate_engagement
14,3,83.3,2,46.4,3,0,1,0.72,3,235.2,moderate_engagement
14,4,77.8,2,79.4,2,2,1,0.47,0,144.4,moderate_engagement
14,5,49.6,2,90.0,1,0,2,0.72,1,185.4,moderate_engagement
14,6,48.1,2,73.8,3,0,2,0.8,3,201.0,moderate_engagement
14,7,71.9,1,56.8,1,1,1,0.62,0,109.3,moderate_engagement
14,8,23.3,3,59.0,3,0,1,0.7,0,218.2,moderate_engagement
14,9,71.5,2,79.7,2,0,1,0.64,3,230.1,moderate_engagement
14,10,84.2,2,76.5,1,0,1,0.52,2,168.1,moderate_engagement
14,11,71.2,3,45.7,2,0,2,0.64,3,250.1,moderate_engagement
14,12,62.3,3,70.6,1,0,2,0.78,1,234.2,moderate_engagement
15,1,94.0,3,60.8,3,0,1,0.59,2,264.4,dropoff_behavior
15,2,80.8,3,57.7,2,3,2,0.66,6,216.7,dropoff_behavior
15,3,70.2,1,41.8,1,1,2,0.5,0,155.6,dropoff_behavior
15,4,16.7,2,47.8,1,1,3,0.57,2,194.7,dropoff_behavior
15,5,52.2,1,31.4,1,3,1,0.26,0,152.4,dropoff_behavior
15,6,47.5,3,19.6,0,3,0,0.25,0,45.9,dropoff_behavior
15,7,38.1,1,16.7,0,0,1,0.11,1,41.4,dropoff_behavior
15,8,5.1,0,0.0,2,3,0,0.03,0,23.5,dropoff_behavior
15,9,7.4,2,0.0,0,2,0,0.09,2,0.0,dropoff_behavior
15,10,0.0,0,2.9,1,3,0,0.07,2,59.3,dropoff_behavior
15,11,5.5,0,8.3,0,2,0,0.05,0,0.0,dropoff_behavior
15,12,0.0,1,0.0,0,3,0,0.1,2,34.1,dropoff_behavior
16,1,104.9,2,53.3,4,0,2,0.52,5,261.7,dropoff_behavior
16,2,71.2,3,74.6,4,3,2,0.69,3,174.8,dropoff_behavior
16,3,54.3,0,73.1,0,3,1,0.45,3,170.1,dropoff_behavior
16,4,39.9,3,48.0,2,3,1,0.45,2,198.2,dropoff_behavior
16,5,57.4,2,44.1,2,1,1,0.35,2,122.4,dropoff_behavior
16,6,52.2,2,30.3,0,3,1,0.48,2,178.1,dropoff_behavior
16,7,38.5,0,30.0,1,3,0,0.27,0,74.4,dropoff_behavior
16,8,32.4,0,27.9,0,1,2,0.19,0,63.3,dropoff_behavior
16,9,27.9,0,6.2,0,3,0,0.0,0,0.4,dropoff_behavior
16,10,0.0,0,9.6,0,3,0,0.0,0,50.4,dropoff_behavior
16,11,0.0,2,0.0,0,3,2,0.26,3,41.2,dropoff_behavior
16,12,0.0,1,3.7,1,1,0,0.0,1,41.2,dropoff_behavior
17,1,121.3,6,96.8,3,0,4,0.78,9,331.3,high_engagement
17,2,127.2,5,74.1,5,1,3,0.77,6,374.2,high_engagement
17,3,100.1,5,84.9,4,1,4,0.87,4,244.9,high_engagement
17,4,122.1,3,70.9,5,1,3,0.82,7,321.1,high_engagement
17,5,114.5,3,88.2,3,0,2,0.92,8,357.1,high_engagement
17,6,119.6,3,99.2,3,0,2,0.88,6,256.1,high_engagement
17,7,130.9,3,83.6,3,0,3,0.77,5,264.3,high_engagement
17,8,133.3,4,79.5,4,0,2,0.81,6,299.4,high_engagement
17,9,135.8,3,100.0,4,0,4,0.84,5,290.5,high_engagement
17,10,121.0,5,89.1,3,0,3,0.91,4,249.8,high_engagement
17,11,111.6,5,76.5,3,1,2,0.8,3,365.2,high_engagement
17,12,123.0,3,94.2,3,0,3,0.97,3,308.4,high_engagement
18,1,15.1,1,41.3,1,1,0,0.41,0,37.9,low_engagement
18,2,19.6,1,70.2,0,2,1,0.49,1,42.8,low_engagement
18,3,22.8,1,60.6,0,2,1,0.48,1,50.9,low_engagement
18,4,38.9,1,28.5,0,1,0,0.2,1,71.5,low_engagement
18,5,21.5,1,16.6,1,2,0,0.22,0,62.9,low_engagement
18,6,26.0,1,53.2,0,0,1,0.02,0,34.1,low_engagement
18,7,26.4,1,18.4,1,2,1,0.21,0,31.9,low_engagement
18,8,34.2,1,37.1,1,0,1,0.17,1,65.3,low_engagement
18,9,21.0,1,33.9,1,3,1,0.27,1,83.6,low_engagement
18,10,16.2,1,43.1,0,3,1,0.19,1,59.0,low_engagement
18,11,12.3,1,46.4,1,1,0,0.41,0,40.7,low_engagement
18,12,46.5,1,43.4,1,0,0,0.42,1,54.1,low_engagement
19,1,49.9,3,78.7,2,1,2,0.47,2,138.0,moderate_engagement
19,2,71.4,1,77.5,2,0,1,0.7,2,171.6,moderate_engagement
19,3,102.3,1,61.1,3,1,2,0.7,2,210.9,moderate_engagement
19,4,51.9,2,68.9,2,0,2,0.55,2,206.2,moderate_engagement
19,5,72.5,2,88.3,3,0,1,0.54,3,252.2,moderate_engagement
19,6,84.5,1,73.0,3,0,1,0.55,3,123.1,moderate_engagement
19,7,51.0,3,61.4,2,1,1,0.54,1,175.5,moderate_engagement
19,8,80.8,1,75.6,3,1,1,0.71,3,153.7,moderate_engagement
19,9,54.5,2,90.1,1,1,2,0.4,2,206.4,moderate_engagement
19,10,83.1,3,83.3,2,1,2,0.67,0,292.6,moderate_engagement
19,11,58.8,3,44.7,2,2,1,0.45,4,219.3,moderate_engagement
19,12,51.5,1,67.9,1,2,2,0.54,3,192.1,moderate_engagement
20,1,47.6,3,63.7,2,0,2,0.79,3,245.7,moderate_engagement
20,2,81.6,3,79.4,3,0,2,0.57,3,59.9,moderate_engagement
20,3,72.5,3,71.6,1,1,1,0.71,1,169.2,moderate_engagement
20,4,61.2,2,38.5,3,0,2,0.3,4,103.3,moderate_engagement
20,5,41.9,3,64.0,1,0,1,0.58,0,180.3,moderate_engagement
20,6,63.8,1,56.0,1,1,2,0.54,0,174.2,moderate_engagement
20,7,54.4,1,62.7,1,0,1,0.62,4,229.6,moderate_engagement
20,8,64.1,3,66.4,1,2,1,0.43,3,87.1,moderate_engagement
20,9,76.9,1,74.2,1,0,1,0.68,4,201.0,moderate_engagement
20,10,62.5,2,71.9,1,0,2,0.62,3,139.1,moderate_engagement
20,11,65.9,3,75.3,3,1,2,0.75,1,237.9,moderate_engagement
20,12,74.6,2,76.0,2,0,1,0.71,3,194.4,moderate_engagement
21,1,96.6,1,74.1,2,1,2,0.4,0,147.7,moderate_engagement
21,2,66.3,1,55.8,1,1,1,0.75,0,136.7,moderate_engagement
21,3,66.6,3,57.2,2,0,1,0.49,1,125.3,moderate_engagement
21,4,41.8,3,70.6,3,2,1,0.56,2,191.6,moderate_engagement
21,5,33.3,1,79.1,2,1,1,0.77,3,334.4,moderate_engagement
21,6,47.9,1,62.4,1,2,1,0.61,3,171.9,moderate_engagement
21,7,78.7,1,80.9,2,1,2,0.45,3,150.4,moderate_engagement
21,8,51.2,1,66.7,1,2,2,0.6,2,156.2,moderate_engagement
21,9,34.7,2,47.6,3,0,1,0.67,4,165.2,moderate_engagement
21,10,41.9,3,47.6,3,0,2,0.42,3,105.7,moderate_engagement
21,11,69.6,1,69.8,2,0,1,0.57,1,241.4,moderate_engagement
21,12,80.9,2,75.2,1,1,1,0.36,3,217.4,moderate_engagement
22,1,124.9,6,82.1,5,0,4,0.87,3,336.0,high_engagement
22,2,117.2,5,96.5,3,0,2,1.0,5,239.9,high_engagement
22,3,123.9,4,76.8,5,0,4,0.82,3,311.2,high_engagement
22,4,114.6,4,100.0,4,0,4,0.78,6,301.2,high_engagement
22,5,123.8,4,93.4,4,0,3,0.8,5,355.0,high_engagement
22,6,116.7,3,90.4,5,0,4,0.95,9,286.5,high_engagement
22,7,139.2,5,88.1,5,0,2,0.94,5,291.8,high_engagement
22,8,103.5,3,78.2,3,1,2,1.0,5,290.3,high_engagement
22,9,121.2,6,93.6,4,0,3,0.95,8,265.3,high_engagement
22,10,112.0,5,91.9,5,0,2,0.8,7,307.6,high_engagement
22,11,132.0,6,91.0,3,0,4,0.79,3,308.5,high_engagement
22,12,105.6,6,92.8,4,0,4,0.79,6,287.7,high_engagement
23,1,45.7,0,50.1,0,0,1,0.28,0,54.5,low_engagement
23,2,19.3,1,49.4,1,0,1,0.11,1,40.9,low_engagement
23,3,21.7,0,55.4,1,0,0,0.31,0,75.8,low_engagement
23,4,27.1,1,58.0,0,0,0,0.55,1,27.3,low_engagement
23,5,32.2,1,27.3,1,1,1,0.25,1,64.7,low_engagement
23,6,0.0,1,67.0,1,1,0,0.51,0,129.0,low_engagement
23,7,27.7,1,46.4,0,0,1,0.4,0,36.3,low_engagement
23,8,17.1,0,16.9,0,0,0,0.3,1,63.9,low_engagement
23,9,0.1,1,33.6,0,0,1,0.31,0,40.6,low_engagement
23,10,37.8,1,42.8,1,3,0,0.48,1,56.6,low_engagement
23,11,27.2,0,46.9,1,0,0,0.59,1,26.8,low_engagement
23,12,14.9,0,46.2,0,3,0,0.36,1,64.9,low_engagement
24,1,66.3,3,44.1,1,0,1,0.31,0,178.5,moderate_engagement
24,2,50.1,2,64.3,3,0,2,0.57,4,196.4,moderate_engagement
24,3,76.5,1,68.6,1,2,2,0.57,4,198.3,moderate_engagement
24,4,83.5,2,63.0,3,0,2,0.62,0,163.0,moderate_engagement
24,5,63.4,3,72.2,1,0,2,0.63,4,254.0,moderate_engagement
24,6,48.4,2,74.5,2,0,2,0.5,3,239.8,moderate_engagement
24,7,68.5,3,65.2,1,2,2,0.77,3,152.5,moderate_engagement
